simbolo;Nombre;Actividad;Market Cap (intraday);Enterprise Value;Price/Sales (ttm);Enterprise Value/Revenue;Enterprise Value/EBITDA;Operating Margin (ttm);Return on Assets (ttm);Revenue (ttm);Revenue Per Share (ttm);EBITDA;Net Income Avi to Common (ttm);Diluted EPS (ttm);Total Cash (mrq);Current Ratio (mrq);Book Value Per Share (mrq);Operating Cash Flow (ttm);Levered Free Cash Flow (ttm);52-Week Change 3;50-Day Moving Average 3;200-Day Moving Average 3;Avg Vol (3 onh);Avg Vol (10 day) ;Shares Ousanding;Iplied Shares Ousanding;Float
ROST;Ross Stores, Inc.;Consumer Cyclical;41760000000;42960000000;2,19;2,24;16,54;0,113;0,093;19210000000;56,66;2420000000;1610000000;4,71;4580000000;1,83;13,14;28600000;1670000000;0,3033;116,02;110,89;2290000;1750000;338630000;338630000;331740000
SBUX;Starbucks Corporation;Consumer Cyclical;1,1921E+11;1,3985E+11;3,34;3,89;18,89;0,1693;0,1198;35980000000;31,25;6950000000;4120000000;3,58;3950000000;0,78;-7;60100000;3250000000;0,0709;94,98;100,64;6380000;10630000;1140000000;1150000000;1120000000
SGEN;Seagen Inc.;Healthcare;40320000000;39200000000;17,39;17,04;-55,75;-0,352;-0,1294;2300000000;12,29;-677360000;-750230000;-4;1240000000;2,67;13,52;-540150000;-277090000;0,6321;212,24;195,08;1470000;1220000;188660000;188660000;133030000
SIRI;Sirius XM Holdings Inc.;Communication Services;17770000000;27410000000;2,02;3,06;10,55;0,2506;0,1295;8950000000;2,31;2630000000;1270000000;0,32;53000000;0,33;-0,75;19600000;1050000000;-0,2788;4,3932;4,2963;14950000;12190000;3840000000;3840000000;621410000
SNPS;Synopsys, Inc.;Technology;78910000000;77760000000;14,59;14,07;57,85;0,2211;0,0737;5530000000;36,28;1300000000;1030000000;6,64;1830000000;1,2;39,17;17700000;1490000000;0,569;470,14;420,03;785500;809760;152080000;152080000;151030000
TEAM;Atlassian Corporation Plc;Technology;45490000000;44530000000;12,23;12,02;-200,6;-0,0193;-0,0391;3710000000;14,42;-171780000;-504900000;-1,97;2270000000;1,43;3;942630000;1110000000;0,3062;192,98;174,78;1320000;1900000;155010000;258060000;153460000
TMUS;T-Mobile US, Inc.;Communication Services;1,7071E+11;2,7576E+11;2,28;3,52;10,46;0,1947;0,0429;78350000000;64,97;27250000000;7780000000;6,44;5030000000;0,86;55,68;180400000;8550000000;0,0148;141,13;140,92;4710000;3830000;1160000000;1160000000;533420000
TSLA;Tesla, Inc.;Consumer Cyclical;6,8236E+11;6,6447E+11;7,79;6,93;40,72;0,0755;0,0796;95920000000;30,28;15150000000;10790000000;3,09;26080000000;1,69;16,82;121600000;1610000000;0,1241;241,67;220,87;120100000;123940000;3180000000;3180000000;2720000000
TXN;Texas Instruments Incorporated;Technology;1,3368E+11;1,3595E+11;7,45;7,51;14,29;0,4164;0,1679;18110000000;19,95;8850000000;7060000000;7,71;8950000000;5,69;18,32;65400000;-138380000;-0,1705;155,29;169,31;4930000;6350000;908200000;908200000;906680000
VRSK;Verisk Analytics, Inc.;Industrials;34500000000;37180000000;13,57;14,11;26,26;0,415;0,0807;2630000000;17,63;857200000;801700000;5,33;418100000;1,18;2,65;10600000;419010000;0,3676;238,45;215,32;873520;970360;144990000;144990000;143960000
VRTX;Vertex Pharmaceuticals Incorporated;Healthcare;96280000000;85100000000;10,08;8,81;18,85;0,4393;0,1434;9650000000;37,49;4570000000;3470000000;13,3;11930000000;4,08;64,05;43800000;3920000000;0,221;359,06;336,85;1030000;1330000;257680000;257680000;256970000
WBA;Walgreens Boots Alliance, Inc.;Consumer Defensive;17930000000;50730000000;0,13;0,36;-19,65;0,0544;0,0148;1,3908E+11;161,12;4100000000;-3080000000;-3,57;739000000;0,63;23,18;22600000;3190000000;-0,4879;21,86;29,66;12600000;9470000;863920000;863920000;715220000
WBD;Webuild S.p.A.;Industrials;24700000000;67120000000;0,59;1,6;3,38;0,0404;-0,0061;42050000000;17,26;6870000000;-4830000000;-1,94;2470000000;0,88;18,36;67400000;21500000000;-0,1184;10,76;12,86;20810000;31610000;2440000000;2440000000;2210000000
WDAY;Workday, Inc.;Technology;60260000000;56870000000;8,9;8,47;133,02;0,0203;-0,0046;6720000000;26;224850000;-121620000;-0,48;6660000000;2;23,95;18100000;1780000000;0,4996;224,28;209,44;1750000;1490000;207000000;262000000;205400000
XEL;Xcel Energy Inc.;Utilities;32670000000;59200000000;2,2;4;11,61;0,2605;0,0254;14820000000;26,9;5040000000;1740000000;3,16;635000000;0,87;31,38;51200000;-1030000000;-0,1142;58,33;63,4;4410000;3710000;551820000;551820000;551020000
ZM;Zoom Video Communications, Inc.;Technology;18680000000;12730000000;4,22;2,85;57,79;0,1558;0,0184;4460000000;15,09;345840000;141730000;0,47;6030000000;3,99;23,27;12600000;1540000000;-0,2643;65,92;68,5;3290000;2500000;254290000;300960000;230930000
ZS;Zscaler, Inc.;Technology;25760000000;24870000000;15,69;15,38;-227,74;-0,0973;-0,0443;1620000000;11,16;-195730000;-202340000;-1,4;2100000000;1,88;4,93;462340000;460750000;0,2791;160,9;137,39;1730000;1630000;147170000;147170000;89460000
